gvkey,iid,datadate,tic,prccd
170617,01,2012-05-18,META,38.23180000
170617,01,2012-05-21,META,34.03000000
170617,01,2012-05-22,META,31.00000000
170617,01,2012-05-23,META,32.00000000
170617,01,2012-05-24,META,33.03000000
170617,01,2012-05-25,META,31.91000000
170617,01,2012-05-29,META,28.84000000
170617,01,2012-05-30,META,28.19000000
170617,01,2012-05-31,META,29.60000000
170617,01,2012-06-01,META,27.72000000
170617,01,2012-06-04,META,26.90000000
170617,01,2012-06-05,META,25.86900000
170617,01,2012-06-06,META,26.81000000
170617,01,2012-06-07,META,26.31000000
170617,01,2012-06-08,META,27.10000000
170617,01,2012-06-11,META,27.00500000
170617,01,2012-06-12,META,27.40000000
170617,01,2012-06-13,META,27.27000000
170617,01,2012-06-14,META,28.29000000
170617,01,2012-06-15,META,30.01400000
170617,01,2012-06-18,META,31.41000000
170617,01,2012-06-19,META,31.91100000
170617,01,2012-06-20,META,31.60000000
170617,01,2012-06-21,META,31.84000000
170617,01,2012-06-22,META,33.05000000
170617,01,2012-06-25,META,32.06000000
170617,01,2012-06-26,META,33.10000000
170617,01,2012-06-27,META,32.23000000
170617,01,2012-06-28,META,31.36000000
170617,01,2012-06-29,META,31.09500000
170617,01,2012-07-02,META,30.77100000
170617,01,2012-07-03,META,31.20000000
170617,01,2012-07-05,META,31.47000000
170617,01,2012-07-06,META,31.73000000
170617,01,2012-07-09,META,32.17000000
170617,01,2012-07-10,META,31.47000000
170617,01,2012-07-11,META,30.97000000
170617,01,2012-07-12,META,30.81000000
170617,01,2012-07-13,META,30.72000000
170617,01,2012-07-16,META,28.24500000
170617,01,2012-07-17,META,28.09000000
170617,01,2012-07-18,META,29.11000000
170617,01,2012-07-19,META,29.00000000
170617,01,2012-07-20,META,28.76000000
170617,01,2012-07-23,META,28.75000000
170617,01,2012-07-24,META,28.45000000
170617,01,2012-07-25,META,29.34000000
170617,01,2012-07-26,META,26.84500000
170617,01,2012-07-27,META,23.70500000
170617,01,2012-07-30,META,23.15000000
170617,01,2012-07-31,META,21.71000000
170617,01,2012-08-01,META,20.88000000
170617,01,2012-08-02,META,20.04000000
170617,01,2012-08-03,META,21.09000000
170617,01,2012-08-06,META,21.92000000
170617,01,2012-08-07,META,20.72000000
170617,01,2012-08-08,META,20.72000000
170617,01,2012-08-09,META,21.01000000
170617,01,2012-08-10,META,21.80700000
170617,01,2012-08-13,META,21.60000000
170617,01,2012-08-14,META,20.38000000
170617,01,2012-08-15,META,21.20000000
170617,01,2012-08-16,META,19.87000000
170617,01,2012-08-17,META,19.05000000
170617,01,2012-08-20,META,20.01100000
170617,01,2012-08-21,META,19.15900000
170617,01,2012-08-22,META,19.43900000
170617,01,2012-08-23,META,19.44000000
170617,01,2012-08-24,META,19.40900000
170617,01,2012-08-27,META,19.15000000
170617,01,2012-08-28,META,19.34000000
170617,01,2012-08-29,META,19.10000000
170617,01,2012-08-30,META,19.08850000
170617,01,2012-08-31,META,18.05800000
170617,01,2012-09-04,META,17.72900000
170617,01,2012-09-05,META,18.58000000
170617,01,2012-09-06,META,18.96000000
170617,01,2012-09-07,META,18.98000000
170617,01,2012-09-10,META,18.81000000
170617,01,2012-09-11,META,19.43000000
170617,01,2012-09-12,META,20.93100000
170617,01,2012-09-13,META,20.71300000
170617,01,2012-09-14,META,22.00000000
170617,01,2012-09-17,META,21.52000000
170617,01,2012-09-18,META,21.87000000
170617,01,2012-09-19,META,23.29000000
170617,01,2012-09-20,META,22.59000000
170617,01,2012-09-21,META,22.86000000
170617,01,2012-09-24,META,20.79000000
170617,01,2012-09-25,META,20.28000000
170617,01,2012-09-26,META,20.62000000
170617,01,2012-09-27,META,20.32000000
170617,01,2012-09-28,META,21.66000000
170617,01,2012-10-01,META,21.99000000
170617,01,2012-10-02,META,22.27000000
170617,01,2012-10-03,META,21.83000000
170617,01,2012-10-04,META,21.94750000
170617,01,2012-10-05,META,20.91000000
170617,01,2012-10-08,META,20.40000000
170617,01,2012-10-09,META,20.22700000
170617,01,2012-10-10,META,19.64000000
170617,01,2012-10-11,META,19.75000000
170617,01,2012-10-12,META,19.51810000
170617,01,2012-10-15,META,19.52000000
170617,01,2012-10-16,META,19.48000000
170617,01,2012-10-17,META,19.88000000
170617,01,2012-10-18,META,18.97500000
170617,01,2012-10-19,META,19.00000000
170617,01,2012-10-22,META,19.32100000
170617,01,2012-10-23,META,19.50000000
170617,01,2012-10-24,META,23.22990000
170617,01,2012-10-25,META,22.56000000
170617,01,2012-10-26,META,21.94250000
170617,01,2012-10-31,META,21.11000000
170617,01,2012-11-01,META,21.21000000
170617,01,2012-11-02,META,21.18000000
170617,01,2012-11-05,META,21.25000000
170617,01,2012-11-06,META,21.17120000
170617,01,2012-11-07,META,20.47000000
170617,01,2012-11-08,META,19.99000000
170617,01,2012-11-09,META,19.21000000
170617,01,2012-11-12,META,20.07000000
170617,01,2012-11-13,META,19.86000000
170617,01,2012-11-14,META,22.36000000
170617,01,2012-11-15,META,22.17000000
170617,01,2012-11-16,META,23.56070000
170617,01,2012-11-19,META,22.92000000
170617,01,2012-11-20,META,23.10000000
170617,01,2012-11-21,META,24.32000000
170617,01,2012-11-23,META,23.99800000
170617,01,2012-11-26,META,25.94000000
170617,01,2012-11-27,META,26.15000000
170617,01,2012-11-28,META,26.36000000
170617,01,2012-11-29,META,27.32000000
170617,01,2012-11-30,META,28.00000000
170617,01,2012-12-03,META,27.04000000
170617,01,2012-12-04,META,27.46000000
170617,01,2012-12-05,META,27.71000000
170617,01,2012-12-06,META,26.97000000
170617,01,2012-12-07,META,27.48500000
170617,01,2012-12-10,META,27.84000000
170617,01,2012-12-11,META,27.98000000
170617,01,2012-12-12,META,27.58010000
170617,01,2012-12-13,META,28.24000000
170617,01,2012-12-14,META,26.81200000
170617,01,2012-12-17,META,26.75000000
170617,01,2012-12-18,META,27.71000000
170617,01,2012-12-19,META,27.41000000
170617,01,2012-12-20,META,27.36000000
170617,01,2012-12-21,META,26.26000000
170617,01,2012-12-24,META,26.93000000
170617,01,2012-12-26,META,26.51000000
170617,01,2012-12-27,META,26.05000000
170617,01,2012-12-28,META,25.91120000
170617,01,2012-12-31,META,26.61970000
170617,01,2013-01-02,META,28.00000000
170617,01,2013-01-03,META,27.77000000
170617,01,2013-01-04,META,28.76000000
170617,01,2013-01-07,META,29.42130000
170617,01,2013-01-08,META,29.06070000
170617,01,2013-01-09,META,30.59000000
170617,01,2013-01-10,META,31.30000000
170617,01,2013-01-11,META,31.72000000
170617,01,2013-01-14,META,30.94750000
170617,01,2013-01-15,META,30.10000000
170617,01,2013-01-16,META,29.85000000
170617,01,2013-01-17,META,30.14000000
170617,01,2013-01-18,META,29.66000000
170617,01,2013-01-22,META,30.72900000
170617,01,2013-01-23,META,30.82000000
170617,01,2013-01-24,META,31.08000000
170617,01,2013-01-25,META,31.54000000
170617,01,2013-01-28,META,32.46900000
170617,01,2013-01-29,META,30.79000000
170617,01,2013-01-30,META,31.24000000
170617,01,2013-01-31,META,30.98100000
170617,01,2013-02-01,META,29.73000000
170617,01,2013-02-04,META,28.10900000
170617,01,2013-02-05,META,28.64000000
170617,01,2013-02-06,META,29.05000000
170617,01,2013-02-07,META,28.65000000
170617,01,2013-02-08,META,28.54500000
170617,01,2013-02-11,META,28.26000000
