Company Name,Ticker,Employees Laid Off,Notice Date,Layoff Date,Year
Apple Inc.,AAPL,52,3/28/24,5/27/24,2024
Apple Inc.,AAPL,35,3/28/24,5/27/24,2024
Apple Inc.,AAPL,49,3/28/24,5/27/24,2024
Apple Inc.,AAPL,58,3/28/24,5/27/24,2024
Apple Inc.,AAPL,15,3/28/24,5/27/24,2024
Apple Inc.,AAPL,23,3/28/24,5/27/24,2024
Apple Inc.,AAPL,11,3/28/24,5/27/24,2024
Apple Inc.,AAPL,371,3/28/24,5/27/24,2024
Apple Inc.,AAPL,121,3/28/24,5/26/24,2024
Apple Inc.,AAPL,45,3/25/20,3/17/20,2020
Apple Inc.,AAPL,48,3/25/20,3/17/20,2020
Apple Inc.,AAPL,190,2/15/19,4/15/19,2019
Apple Inc.,AAPL,49,1/15/16,4/15/16,2016
Apple Inc.,AAPL,52,5/25/18,7/25/18,2018
Amazon,AMZN,90,11/2/23,1/2/24,2024
Amazon,AMZN,2,5/2/23,7/17/23,2023
Amazon,AMZN,55,5/2/23,7/17/23,2023
Amazon,AMZN,299,1/23/23,4/18/23,2023
Amazon,AMZN,2320,1/19/23,3/19/23,2023
Amazon,AMZN,299,1/18/23,4/18/23,2023
Amazon,AMZN,20,1/18/23,3/19/23,2023
Amazon,AMZN,63,1/18/23,3/19/23,2023
Amazon,AMZN,20,1/18/23,3/19/23,2023
Amazon,AMZN,1,1/18/23,3/19/23,2023
Amazon,AMZN,2,1/18/23,3/19/23,2023
Amazon,AMZN,98,1/18/23,3/19/23,2023
Amazon,AMZN,58,1/18/23,3/19/23,2023
Amazon,AMZN,17,1/18/23,3/19/23,2023
Amazon,AMZN,1,1/18/23,3/19/23,2023
Amazon,AMZN,10,1/18/23,3/19/23,2023
Amazon,AMZN,2,1/18/23,3/19/23,2023
Amazon,AMZN,39,1/18/23,3/19/23,2023
Amazon,AMZN,16,1/18/23,3/19/23,2023
Amazon,AMZN,219,12/12/22,4/1/23,2023
Amazon,AMZN,13,12/6/22,3/11/23,2023
Amazon,AMZN,2,12/6/22,3/11/23,2023
Amazon,AMZN,98,12/6/22,1/16/23,2023
Amazon,AMZN,57,12/6/22,1/16/23,2023
Amazon,AMZN,114,12/6/22,1/2/23,2023
Amazon,AMZN,5,12/6/22,3/19/23,2023
Amazon,AMZN,7,12/6/22,3/19/23,2023
Amazon,AMZN,46,11/15/22,1/17/23,2023
Amazon,AMZN,14,11/15/22,1/17/23,2023
Amazon,AMZN,73,11/15/22,1/17/23,2023
Amazon,AMZN,53,11/4/22,1/4/23,2023
Amazon,AMZN,53,11/4/22,1/4/23,2023
Amazon,AMZN,159,9/12/22,12/1/22,2022
Amazon,AMZN,163,8/26/22,10/25/22,2022
Amazon,AMZN,190,8/26/22,10/25/22,2022
Amazon,AMZN,51,4/5/22,4/9/22,2022
Amazon,AMZN,51,4/1/22,4/9/22,2022
Amazon,AMZN,161,7/30/21,9/28/21,2021
Amazon,AMZN,161,7/30/21,9/28/21,2021
Amazon,AMZN,39,5/26/21,6/24/21,2021
Amazon,AMZN,156,4/23/21,6/26/21,2021
Amazon,AMZN,87,2/22/21,12/7/20,2020
Amazon,AMZN,67,3/7/18,5/6/18,2018
Amazon,AMZN,139,3/29/17,5/29/17,2017
Amazon,AMZN,149,2/15/17,4/15/17,2017
Amazon,AMZN,5,4/21/16,7/20/16,2016
Amazon,AMZN,89,4/21/16,7/20/16,2016
Amazon,AMZN,634,10/16/14,12/16/14,2014
Amazon,AMZN,140,2/10/11,4/13/11,2011
Amazon,AMZN,77,3/31/18,5/31/18,2018
Google,GOOG,26,1/10/24,3/10/24,2024
Google,GOOG,14,1/10/24,3/10/24,2024
Google,GOOG,23,1/10/24,3/10/24,2024
Google,GOOG,42,1/10/24,3/10/24,2024
Google,GOOG,28,1/10/24,3/10/24,2024
Google,GOOG,1,1/10/24,3/10/24,2024
