Company,Year,Q ,Quarter,EPS,Total Assets,Total Liabilities,Cash Holding
Meta,2020,Q1,3/31/20,1.71,138371,138371,23927
Meta,2020,Q2,6/30/20,1.8,139691,139691,21569
Meta,2020,Q3,9/30/20,2.71,146437,146437,11979
Meta,2020,Q4,12/31/20,3.88,159316,159316,17954
Meta,2021,Q1,3/31/21,3.3,163523,163523,19891
Meta,2021,Q2,6/30/21,3.61,170609,170609,16511
Meta,2021,Q3,9/30/21,3.22,169585,169585,14804
Meta,2021,Q4,12/31/21,3.67,165987,165987,16865
Meta,2022,Q1,3/31/22,2.72,164218,164218,15353
Meta,2022,Q2,6/30/22,2.46,169779,169779,13478
Meta,2022,Q3,9/30/22,1.64,178894,178894,15251
Meta,2022,Q4,12/31/22,1.76,185727,185727,15596
Meta,2023,Q1,3/31/23,2.2,184491,184491,12420
Meta,2023,Q2,6/30/23,2.98,206688,206688,29804
Meta,2023,Q3,9/30/23,4.39,216724,216724,37900
Meta,2023,Q4,12/31/23,5.3,229623,229623,42827
